id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RPL23	26	5.1737e-11	6.9578e-07	6.7e-05	31	22	-1.2854	0.40636	0.78975	1.0	4622	3	-1.2854
RPL17	28	5.8281e-11	6.9578e-07	6.7e-05	32	19	-1.1833	0.41354	0.8006	1.0	4648	6	-1.1833
RPS11	32	6.0448e-11	6.9578e-07	6.7e-05	33	24	-1.2796	0.98572	0.99927	1.0	6832	5	-1.2796
RPS16	39	7.9484e-11	6.9578e-07	6.7e-05	34	31	-1.051	0.99892	0.99998	1.0	7015	4	-1.051
RPL34	17	1.1573e-10	6.9578e-07	6.7e-05	35	14	-1.671	0.99999	0.99999	1.0	7100	0	-1.671
CCDC84	10	1.7957e-10	6.9578e-07	6.7e-05	36	10	-2.5776	1.0	1.0	1.0	7114	0	-2.5776
RPL9	21	1.9298e-10	6.9578e-07	6.7e-05	37	16	-2.1936	0.9477	0.99298	1.0	6674	3	-2.1936
C1orf109	10	1.931e-10	6.9578e-07	6.7e-05	38	10	-2.7456	1.0	1.0	1.0	7111	0	-2.7456
CDAN1	10	2.4605e-10	6.9578e-07	6.7e-05	39	10	-2.6173	1.0	1.0	1.0	7113	0	-2.6173
MPHOSPH10	10	4.4536e-10	6.9578e-07	6.7e-05	40	9	-2.007	0.94471	0.97562	1.0	6667	1	-2.007
RPS7	36	5.8648e-10	6.9578e-07	6.7e-05	41	25	-0.92064	0.92253	0.99484	1.0	6562	4	-0.92064
RPS27	14	6.0885e-10	6.9578e-07	6.7e-05	42	12	-2.3608	0.36077	0.68372	1.0	4400	2	-2.3608
POLR2I	10	1.307e-09	6.9578e-07	6.7e-05	43	9	-2.3107	0.99973	0.99973	1.0	7063	0	-2.3107
RPP21	10	1.5326e-09	6.9578e-07	6.7e-05	44	8	-2.6056	0.86012	0.94233	1.0	6351	2	-2.6056
RPL27A	32	1.7219e-09	6.9578e-07	6.7e-05	45	22	-1.2705	0.094934	0.37787	0.944021	2233	6	-1.2705
WDR74	10	2.2086e-09	6.9578e-07	6.7e-05	46	10	-2.554	1.0	1.0	1.0	7110	0	-2.554
RPS12	28	2.8136e-09	6.9578e-07	6.7e-05	47	16	-0.72785	0.92352	0.9926	1.0	6569	6	-0.72785
TPT1	10	2.9857e-09	6.9578e-07	6.7e-05	48	9	-2.012	0.99825	0.99825	1.0	6997	0	-2.012
RPS14	30	4.6336e-09	6.9578e-07	6.7e-05	49	22	-1.1142	1.0	1.0	1.0	7107	0	-1.1142
RPL7L1	40	8.0178e-09	6.9578e-07	6.7e-05	50	27	-0.81933	0.71523	0.96233	1.0	5855	6	-0.81933
ERCC2	10	1.0083e-08	6.9578e-07	6.7e-05	51	8	-1.7845	0.71616	0.88042	1.0	5863	1	-1.7845
SF3A3	10	1.2445e-08	6.9578e-07	6.7e-05	52	9	-2.4466	0.91152	0.96071	1.0	6513	1	-2.4466
SRSF2	10	1.3271e-08	6.9578e-07	6.7e-05	53	9	-2.0416	0.97928	0.98439	1.0	6778	1	-2.0416
PRMT5	10	1.5747e-08	6.9578e-07	6.7e-05	54	9	-1.9036	0.9102	0.96014	1.0	6510	1	-1.9036
FEN1	10	1.6296e-08	6.9578e-07	6.7e-05	55	9	-1.4955	0.99997	0.99997	1.0	7087	0	-1.4955
CCT2	10	1.719e-08	6.9578e-07	6.7e-05	56	9	-1.423	0.98049	0.9849	1.0	6786	1	-1.423
CRCP	10	1.745e-08	6.9578e-07	6.7e-05	57	9	-1.786	0.98119	0.98521	1.0	6795	1	-1.786
RPL35	29	1.8159e-08	6.9578e-07	6.7e-05	58	21	-0.75134	0.67843	0.93881	1.0	5717	6	-0.75134
KAT5	10	1.8563e-08	6.9578e-07	6.7e-05	59	9	-1.7833	0.99697	0.99701	1.0	6969	0	-1.7833
THAP11	10	2.7584e-08	6.9578e-07	6.7e-05	60	10	-1.9619	1.0	1.0	1.0	7109	0	-1.9619
EXOSC4	10	3.3524e-08	6.9578e-07	6.7e-05	61	8	-2.0162	0.2852	0.57007	1.0	3955	2	-2.0162
POLA2	10	3.3819e-08	6.9578e-07	6.7e-05	62	10	-1.8899	1.0	1.0	1.0	7102	0	-1.8899
PSMC3	10	3.3855e-08	6.9578e-07	6.7e-05	63	9	-1.5192	0.99986	0.99986	1.0	7071	0	-1.5192
PHB2	10	3.632e-08	6.9578e-07	6.7e-05	64	8	-2.0231	0.99729	0.99733	1.0	6973	0	-2.0231
HSPA5	10	3.6455e-08	6.9578e-07	6.7e-05	65	8	-1.8741	0.99909	0.99909	1.0	7024	0	-1.8741
SLC7A6OS	10	4.5967e-08	6.9578e-07	6.7e-05	66	9	-2.0285	0.99994	0.99995	1.0	7079	0	-2.0285
POLR2A	10	4.9071e-08	6.9578e-07	6.7e-05	67	9	-2.5251	0.94655	0.97591	1.0	6669	1	-2.5251
HSPA9	10	4.9749e-08	6.9578e-07	6.7e-05	68	10	-2.2335	1.0	1.0	1.0	7106	0	-2.2335
PSMA7	10	5.2109e-08	6.9578e-07	6.7e-05	69	7	-2.1801	0.62543	0.83745	1.0	5541	3	-2.1801
POLR2E	10	5.4883e-08	6.9578e-07	6.7e-05	70	9	-1.8788	0.79672	0.92164	1.0	6186	1	-1.8788
CDC123	10	6.0837e-08	6.9578e-07	6.7e-05	71	8	-2.2157	0.27194	0.55351	1.0	3849	1	-2.2157
RPL10A	35	6.4793e-08	6.9578e-07	6.7e-05	72	24	-0.85096	0.99704	0.99989	1.0	6971	3	-0.85096
SRSF3	10	7.5645e-08	2.0873e-06	0.000181	73	10	-1.653	1.0	1.0	1.0	7108	0	-1.653
CDC16	10	7.6972e-08	2.0873e-06	0.000181	74	8	-2.2427	0.99486	0.99497	1.0	6934	0	-2.2427
WDR75	10	8.0244e-08	2.0873e-06	0.000181	75	9	-2.0701	0.75165	0.89831	1.0	5985	1	-2.0701
RPL37A	16	8.6721e-08	6.9578e-07	6.7e-05	76	14	-1.2914	0.99885	0.9991	1.0	7012	1	-1.2914
C7orf26	10	1.0955e-07	2.0873e-06	0.000181	77	10	-2.0509	0.99998	0.99999	1.0	7090	0	-2.0509
CCT4	10	1.4122e-07	2.0873e-06	0.000181	78	10	-1.9267	0.99999	0.99999	1.0	7097	0	-1.9267
IPO13	10	1.4191e-07	2.0873e-06	0.000181	79	7	-2.2001	0.3811	0.66439	1.0	4498	1	-2.2001
UHRF1	10	1.4542e-07	2.0873e-06	0.000181	80	8	-1.512	0.99956	0.99954	1.0	7052	0	-1.512
ANAPC4	10	1.5363e-07	3.4789e-06	0.000278	81	8	-1.9346	0.66541	0.85606	1.0	5678	2	-1.9346
SNAPC5	10	1.643e-07	3.4789e-06	0.000278	82	9	-1.6715	0.99987	0.99988	1.0	7072	0	-1.6715
RPS20	19	1.6945e-07	4.8705e-06	0.000369	83	14	-1.8318	0.78051	0.95231	1.0	6098	3	-1.8318
POLR2C	10	1.7126e-07	3.4789e-06	0.000278	84	8	-1.2889	0.66699	0.85683	1.0	5684	2	-1.2889
SON	10	1.7196e-07	3.4789e-06	0.000278	85	6	-2.2925	0.60722	0.82899	1.0	5487	2	-2.2925
TXNL4A	10	1.8059e-07	3.4789e-06	0.000278	86	9	-1.7545	0.98788	0.98886	1.0	6850	1	-1.7545
RPS13	28	2.0231e-07	6.9578e-07	6.7e-05	87	19	-0.636	0.49417	0.85378	1.0	5020	4	-0.636
PREB	10	2.0576e-07	4.8705e-06	0.000369	88	9	-2.1247	0.99886	0.99888	1.0	7013	0	-2.1247
GTF2B	10	2.0961e-07	4.8705e-06	0.000369	89	9	-2.3815	0.99995	0.99996	1.0	7084	0	-2.3815
POLR3H	10	2.1938e-07	4.8705e-06	0.000369	90	8	-1.8991	0.99577	0.99582	1.0	6946	0	-1.8991
RPL37	22	2.3029e-07	2.0873e-06	0.000181	91	16	-0.99406	0.92691	0.99019	1.0	6589	3	-0.99406
GTF3C1	10	2.3259e-07	6.262e-06	0.000455	92	9	-1.3035	0.99995	0.99996	1.0	7083	0	-1.3035
MKI67IP	10	2.8743e-07	6.262e-06	0.000455	93	9	-1.4779	0.99994	0.99994	1.0	7077	0	-1.4779
RPL26	26	3.1077e-07	7.6536e-06	0.000534	94	19	-0.95727	0.97061	0.99753	1.0	6736	4	-0.95727
RPS27A	23	3.5439e-07	3.4789e-06	0.000278	95	16	-0.77047	0.67973	0.92797	1.0	5725	3	-0.77047
PSMD2	10	3.7852e-07	6.262e-06	0.000455	96	10	-1.7186	0.99999	0.99999	1.0	7096	0	-1.7186
RBM22	10	3.8034e-07	6.262e-06	0.000455	97	10	-0.84927	1.0	1.0	1.0	7105	0	-0.84927
RPL36	23	4.0958e-07	3.4789e-06	0.000278	98	17	-1.063	0.56686	0.87991	1.0	5356	4	-1.063
ELP4	10	4.9542e-07	7.6536e-06	0.000534	99	9	-1.2728	0.99944	0.99943	1.0	7045	0	-1.2728
RPL19	46	4.9777e-07	7.6536e-06	0.000534	100	27	-0.61841	0.97393	0.99925	1.0	6749	9	-0.61841
POLR3K	10	5.1119e-07	7.6536e-06	0.000534	101	7	-1.6608	0.18356	0.43748	0.981463	3176	1	-1.6608
MYBL2	10	6.0901e-07	9.741e-06	0.00066	102	8	-1.1109	0.099549	0.29286	0.904363	2303	2	-1.1109
PSMD6	10	6.8273e-07	1.1828e-05	0.000787	103	9	-1.2082	0.9992	0.9992	1.0	7030	0	-1.2082
EIF6	10	7.9054e-07	1.1828e-05	0.000787	104	9	-1.6752	0.9996	0.99959	1.0	7053	0	-1.6752
RPS17	22	8.1239e-07	9.0452e-06	0.000619	105	15	-0.85009	0.86001	0.97735	1.0	6348	5	-0.85009
PCNA	10	8.1806e-07	1.322e-05	0.000855	106	8	-2.5956	0.85293	0.94002	1.0	6334	1	-2.5956
SMG6	10	8.399e-07	1.322e-05	0.000855	107	10	-1.3622	1.0	1.0	1.0	7104	0	-1.3622
SSRP1	10	8.5206e-07	1.322e-05	0.000855	108	9	-1.3482	0.98716	0.9884	1.0	6845	1	-1.3482
SF3B3	9	8.6275e-07	4.8705e-06	0.000369	109	6	-2.8903	0.29975	0.56893	1.0	4069	2	-2.8903
RPL14	33	9.0157e-07	1.4611e-05	0.00092	110	21	-0.71594	0.54781	0.89321	1.0	5266	9	-0.71594
HEATR1	10	1.0227e-06	1.4611e-05	0.00092	111	8	-1.5665	0.99531	0.99537	1.0	6942	0	-1.5665
UBR4	10	1.0256e-06	1.4611e-05	0.00092	112	8	-1.4559	0.071273	0.23074	0.855943	1922	2	-1.4559
RBM14	10	1.0459e-06	1.6003e-05	0.000982	113	9	-1.5869	0.99953	0.99951	1.0	7050	0	-1.5869
POLR2L	10	1.1855e-06	1.6003e-05	0.000982	114	9	-2.3925	0.99087	0.99108	1.0	6882	1	-2.3925
NOC4L	10	1.2558e-06	1.6003e-05	0.000982	115	9	-1.2786	0.97278	0.98202	1.0	6742	1	-1.2786
TSEN54	10	1.2769e-06	1.7395e-05	0.001023	116	9	-1.6858	0.97417	0.98247	1.0	6751	1	-1.6858
RNGTT	10	1.3074e-06	1.7395e-05	0.001023	117	8	-1.7503	0.54041	0.78769	1.0	5229	1	-1.7503
CKAP5	10	1.4529e-06	1.7395e-05	0.001023	118	7	-1.3649	0.24104	0.51428	1.0	3608	1	-1.3649
PPAN	10	1.5142e-06	1.7395e-05	0.001023	119	8	-1.3103	0.65258	0.85014	1.0	5632	1	-1.3103
RPA1	10	1.5333e-06	1.7395e-05	0.001023	120	7	-1.5222	0.18265	0.43618	0.980944	3168	2	-1.5222
SRSF1	10	1.601e-06	1.8786e-05	0.001087	121	8	-1.9749	0.93355	0.9705	1.0	6621	1	-1.9749
ISCU	10	1.6238e-06	1.8786e-05	0.001087	122	7	-1.4082	0.39255	0.67337	1.0	4552	3	-1.4082
IPO7	10	1.6583e-06	2.0178e-05	0.001149	123	8	-1.438	0.92294	0.96563	1.0	6565	1	-1.438
ORC6	10	1.6737e-06	2.0178e-05	0.001149	124	7	-2.0859	0.98998	0.99037	1.0	6868	1	-2.0859
DBR1	9	1.6776e-06	9.0452e-06	0.000619	125	8	-2.116	0.89239	0.94806	1.0	6452	1	-2.116
PAFAH1B1	10	1.8625e-06	2.4352e-05	0.001364	126	8	-1.7313	0.93523	0.97134	1.0	6629	1	-1.7313
METTL1	10	1.8845e-06	2.4352e-05	0.001364	127	10	-0.80361	1.0	1.0	1.0	7103	0	-0.80361
RPL32	23	2.1782e-06	3.131e-05	0.00165	128	16	-0.77258	0.8957	0.98565	1.0	6467	4	-0.77258
CDC73	10	2.4042e-06	2.9919e-05	0.001637	129	8	-1.6923	0.93045	0.96901	1.0	6605	2	-1.6923
DCAF7	10	2.4531e-06	2.9919e-05	0.001637	130	9	-1.1519	0.99982	0.99983	1.0	7067	0	-1.1519
MASTL	10	2.4784e-06	2.9919e-05	0.001637	131	8	-1.664	0.99313	0.99318	1.0	6914	0	-1.664
IARS	10	2.6323e-06	3.131e-05	0.00165	132	9	-1.6072	0.95197	0.97684	1.0	6681	1	-1.6072
C3orf17	10	2.6566e-06	3.131e-05	0.00165	133	9	-2.0892	0.99996	0.99997	1.0	7086	0	-2.0892
MYC	10	2.6782e-06	3.131e-05	0.00165	134	7	-1.9435	0.45513	0.72285	1.0	4857	1	-1.9435
C14orf80	10	2.8806e-06	3.131e-05	0.00165	135	9	-1.4992	0.99704	0.99709	1.0	6972	0	-1.4992
FAM50A	10	2.8916e-06	3.2006e-05	0.001674	136	8	-1.2685	0.99961	0.99961	1.0	7055	0	-1.2685
PCF11	10	2.9736e-06	3.4093e-05	0.001771	137	8	-1.9842	0.7248	0.88478	1.0	5886	1	-1.9842
RPL29	37	3.1799e-06	4.2443e-05	0.002027	138	22	-0.5723	0.85012	0.98642	1.0	6325	6	-0.5723
PCBP1	10	3.2966e-06	3.8268e-05	0.001946	139	8	-1.4075	0.72803	0.88635	1.0	5894	2	-1.4075
SEH1L	10	3.5794e-06	3.8268e-05	0.001946	140	9	-1.4492	0.99984	0.99985	1.0	7070	0	-1.4492
RAD51D	10	3.7924e-06	3.966e-05	0.001946	141	9	-1.5148	0.99984	0.99985	1.0	7069	0	-1.5148
HNRNPK	10	3.9223e-06	3.966e-05	0.001946	142	8	-1.3882	0.96793	0.98058	1.0	6730	1	-1.3882
RFC5	10	3.9801e-06	3.966e-05	0.001946	143	7	-1.1602	0.99942	0.99941	1.0	7043	0	-1.1602
EXOSC8	10	3.9995e-06	3.966e-05	0.001946	144	9	-1.3018	0.65141	0.84958	1.0	5625	1	-1.3018
COPS6	10	4.0128e-06	3.966e-05	0.001946	145	9	-1.1061	0.99938	0.99939	1.0	7040	0	-1.1061
EIF1AD	10	4.0682e-06	3.966e-05	0.001946	146	9	-1.4129	0.94352	0.97544	1.0	6665	1	-1.4129
NIP7	10	4.3039e-06	4.1051e-05	0.001974	147	7	-1.6624	0.99547	0.99554	1.0	6943	0	-1.6624
PRIM1	10	4.3139e-06	4.1051e-05	0.001974	148	8	-1.1509	0.3543	0.64263	1.0	4366	1	-1.1509
MMS22L	10	4.4556e-06	4.1051e-05	0.001974	149	9	-1.3637	0.84613	0.93791	1.0	6315	1	-1.3637
DONSON	10	4.5999e-06	4.3834e-05	0.002079	150	10	-1.3805	0.99999	0.99999	1.0	7099	0	-1.3805
TSEN34	10	5.0114e-06	4.9401e-05	0.002312	151	8	-1.4713	0.55534	0.79876	1.0	5304	1	-1.4713
TUBG1	10	5.0337e-06	4.9401e-05	0.002312	152	8	-1.6429	0.53727	0.78539	1.0	5217	1	-1.6429
RCC1	10	5.2849e-06	5.2184e-05	0.002427	153	10	-0.91705	0.99999	0.99999	1.0	7101	0	-0.91705
MRPL41	10	5.4915e-06	5.4967e-05	0.00254	154	8	-1.1449	0.98751	0.98864	1.0	6848	1	-1.1449
CLTC	10	5.6965e-06	5.6358e-05	0.00257	155	7	-1.1966	0.91155	0.96072	1.0	6514	1	-1.1966
EFTUD2	10	5.9236e-06	5.6358e-05	0.00257	156	10	-0.74877	0.99998	0.99999	1.0	7092	0	-0.74877
NAA10	10	6.1501e-06	5.775e-05	0.002601	157	8	-2.0232	0.39872	0.67821	1.0	4577	2	-2.0232
SPC24	10	6.1742e-06	5.775e-05	0.002601	158	8	-2.2717	0.56862	0.80864	1.0	5362	1	-2.2717
HDAC3	10	6.3863e-06	5.9142e-05	0.00263	159	9	-1.2843	0.51292	0.76742	1.0	5098	1	-1.2843
HNRNPH1	10	6.4754e-06	5.9142e-05	0.00263	160	9	-0.94411	0.96558	0.97997	1.0	6720	1	-0.94411
WDR12	10	7.0916e-06	6.7491e-05	0.002946	161	7	-1.1643	0.48884	0.74906	1.0	4999	2	-1.1643
CLNS1A	10	7.1214e-06	6.7491e-05	0.002946	162	6	-1.4458	0.2088	0.47185	0.998751	3362	3	-1.4458
PDS5A	10	7.256e-06	6.7491e-05	0.002946	163	9	-1.1443	0.99347	0.99352	1.0	6917	0	-1.1443
LSM11	10	7.5217e-06	7.0274e-05	0.00303	164	9	-1.208	0.99973	0.99972	1.0	7062	0	-1.208
SNRPD2	10	7.54e-06	7.0274e-05	0.00303	165	7	-1.2446	0.39395	0.67443	1.0	4557	2	-1.2446
TINF2	10	7.704e-06	7.3057e-05	0.003131	166	7	-2.0097	0.011094	0.05499	0.585231	668	3	-2.0097
C16orf80	10	7.899e-06	7.584e-05	0.003231	167	9	-1.0049	0.98278	0.98597	1.0	6813	1	-1.0049
CPSF1	10	8.195e-06	7.8623e-05	0.00333	168	9	-1.5757	0.99813	0.99816	1.0	6994	0	-1.5757
IRF2BP2	10	8.5973e-06	8.419e-05	0.003524	169	8	-1.1261	0.98838	0.9892	1.0	6854	1	-1.1261
CPSF6	10	8.6275e-06	8.419e-05	0.003524	170	9	-1.4242	0.9987	0.99872	1.0	7003	0	-1.4242
GLRX5	10	8.6601e-06	8.5581e-05	0.003561	171	8	-1.4232	0.99895	0.99895	1.0	7016	0	-1.4232
C9orf41	10	9.1023e-06	9.3931e-05	0.003886	172	8	-1.5462	0.9963	0.99634	1.0	6957	0	-1.5462
MED11	10	9.2069e-06	9.5322e-05	0.00392	173	8	-1.2622	0.70004	0.87258	1.0	5793	2	-1.2622
PSMD11	10	1.0162e-05	9.8105e-05	0.004012	174	8	-1.5608	0.30743	0.5969	1.0	4126	2	-1.5608
PFDN5	10	1.04e-05	9.9497e-05	0.004045	175	10	-0.94838	0.99998	0.99999	1.0	7091	0	-0.94838
GTPBP4	10	1.0568e-05	0.00010228	0.004135	176	8	-1.4423	0.83966	0.93596	1.0	6294	2	-1.4423
TUBB	10	1.0771e-05	0.00010645	0.004279	177	9	-1.3321	0.99041	0.99068	1.0	6876	1	-1.3321
PAK1IP1	10	1.1107e-05	0.00010785	0.004311	178	10	-2.0058	0.99999	0.99999	1.0	7098	0	-2.0058
ANAPC2	10	1.1268e-05	0.00010924	0.004342	179	7	-1.0968	0.96683	0.98032	1.0	6725	1	-1.0968
INTS10	10	1.1388e-05	0.00011063	0.004373	180	8	-1.5247	0.68581	0.86581	1.0	5745	2	-1.5247
KAT7	10	1.2151e-05	0.0001148	0.004513	181	10	-0.91067	0.99999	0.99999	1.0	7095	0	-0.91067
SOD1	10	1.2448e-05	0.00011898	0.004651	182	7	-1.4546	0.92545	0.9667	1.0	6581	1	-1.4546
C12orf44	10	1.2752e-05	0.00012176	0.004734	183	10	-0.58561	0.99999	0.99999	1.0	7094	0	-0.58561
DIMT1	10	1.3041e-05	0.00012455	0.004764	184	9	-1.2042	0.99298	0.99305	1.0	6911	0	-1.2042
CPSF4	10	1.3081e-05	0.00012455	0.004764	185	8	-1.3438	0.99802	0.99806	1.0	6990	0	-1.3438
PUF60	10	1.309e-05	0.00012455	0.004764	186	9	-0.93287	0.97196	0.98177	1.0	6740	1	-0.93287
TOP2A	10	1.3638e-05	0.00012594	0.004792	187	9	-1.2501	0.70668	0.87568	1.0	5817	1	-1.2501
TP53RK	10	1.3828e-05	0.00012733	0.004793	188	9	-0.79977	0.99961	0.99961	1.0	7056	0	-0.79977
PFN1	10	1.4072e-05	0.00012733	0.004793	189	9	-1.4429	0.9974	0.99743	1.0	6976	0	-1.4429
RPL31	26	1.4074e-05	0.00018995	0.006658	190	17	-0.70188	0.22955	0.60544	1.0	3527	6	-0.70188
CFL1	10	1.4373e-05	0.00012872	0.004795	191	10	-1.0167	0.99999	0.99999	1.0	7093	0	-1.0167
ARL2	10	1.443e-05	0.00012872	0.004795	192	8	-0.83603	0.80817	0.92731	1.0	6225	2	-0.83603
SRRM2	10	1.4582e-05	0.00013011	0.004822	193	8	-0.73034	0.93885	0.97306	1.0	6647	2	-0.73034
GTF2A2	10	1.4919e-05	0.00013289	0.004899	194	8	-1.0408	0.96325	0.97938	1.0	6710	1	-1.0408
TMEM147	10	1.5724e-05	0.00013707	0.005027	195	9	-0.89108	0.40672	0.68459	1.0	4624	1	-0.89108
BUB3	10	1.5828e-05	0.00013846	0.005052	196	7	-1.3588	0.59973	0.82539	1.0	5463	3	-1.3588
RAN	10	1.5935e-05	0.00014124	0.005127	197	9	-1.3344	0.99968	0.99967	1.0	7060	0	-1.3344
HECTD1	10	1.6738e-05	0.00014542	0.005252	198	9	-1.0891	0.99974	0.99974	1.0	7065	0	-1.0891
RPS25	23	1.74e-05	0.00018299	0.006445	199	14	-0.3852	0.1486	0.46581	0.995668	2908	2	-0.3852
C9orf78	10	1.9097e-05	0.00016768	0.006026	200	8	-1.008	0.99799	0.99803	1.0	6987	0	-1.008
POLR2D	10	1.9465e-05	0.00016908	0.006045	201	8	-1.1976	0.017306	0.07772	0.652139	840	1	-1.1976
RNF8	10	2.0152e-05	0.00017742	0.006312	202	8	-1.2803	0.99904	0.99903	1.0	7020	0	-1.2803
SMARCB1	10	2.0214e-05	0.00017882	0.00633	203	7	-1.2852	0.9981	0.99813	1.0	6992	0	-1.2852
DDX39B	10	2.187e-05	0.00019551	0.006786	204	6	-1.0726	0.67774	0.86191	1.0	5713	3	-1.0726
DIS3	10	2.2135e-05	0.00019551	0.006786	205	7	-1.3736	0.0018453	0.011736	0.369469	228	2	-1.3736
MED8	10	2.2692e-05	0.00019969	0.006897	206	8	-1.3046	0.94238	0.97491	1.0	6661	2	-1.3046
PRIM2	10	2.3611e-05	0.00021082	0.007246	207	7	-1.0836	0.93533	0.9714	1.0	6630	2	-1.0836
POLR2G	10	2.4013e-05	0.00021221	0.007259	208	9	-1.2342	0.99935	0.99935	1.0	7035	0	-1.2342
GTF2A1	10	2.482e-05	0.00021778	0.007414	209	10	-0.75868	0.99998	0.99998	1.0	7089	0	-0.75868
SNRNP200	10	2.5086e-05	0.00021917	0.007426	210	8	-1.5461	0.0048459	0.027036	0.474966	406	2	-1.5461
SAE1	10	2.5285e-05	0.00022056	0.007437	211	5	-0.6794	0.86349	0.94342	1.0	6361	2	-0.6794
POLR2B	10	2.5367e-05	0.00022195	0.007449	212	7	-1.0009	0.63903	0.84381	1.0	5580	1	-1.0009
TAF10	10	2.6031e-05	0.00022474	0.007449	213	8	-1.0202	0.98736	0.98852	1.0	6847	1	-1.0202
PPP2R4	10	2.6063e-05	0.00022474	0.007449	214	8	-1.3113	0.99565	0.9957	1.0	6944	0	-1.3113
MCL1	10	2.627e-05	0.00022613	0.007449	215	8	-1.5404	0.13368	0.36208	0.940563	2740	2	-1.5404
BCL2	10	2.6395e-05	0.00022613	0.007449	216	8	-1.1524	0.92441	0.96621	1.0	6576	1	-1.1524
METTL3	10	2.6811e-05	0.00022752	0.00746	217	8	-0.94522	0.24146	0.5148	1.0	3615	1	-0.94522
WDR43	10	2.7569e-05	0.00023587	0.007698	218	9	-0.73687	0.99981	0.99982	1.0	7066	0	-0.73687
